Name|Type|Size|Parent Directory
bc2d712ddcb45ac22a2f7c17644748f748ae41|file|138|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\7e
7e|directory|138|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
3d8c9126bbd53f9f7d099a757067bcc8f9dd50|file|52|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\81
81|directory|52|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
7ab3099c9848b886f364bf5fd7c236fa0d1cd5|file|78|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\84
af26ef4db69a06a36a89cf33932cbd5327f67c|file|164|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\84
c6b5bf49701b93259a1dae2ca7608e6fd3d2cf|file|447|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\84
84|directory|689|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
36ec0949b3c19d45bccbad26dbd890f4b72cb1|file|53|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\85
85|directory|53|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
32e70c14c1a4c797f7d33f1ab498b8a86298e1|file|77|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\87
87|directory|77|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
160a502fc56bb68df54b1f9ded8eebe5a1defe|file|462|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\88
2547e251bd95abf25540f82af48dcf49dc5557|file|52|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\88
88|directory|514|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
f16a327d0668c5415e180103322f3feb9e6748|file|52|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\89
89|directory|52|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
137891791fe96927ad78e64b0aad7bded08bdc|file|16|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\8b
8b|directory|16|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
20cba831b29a826ae3e0be44561fb951aba7fa|file|124|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\8e
8e|directory|124|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
